Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 2126161620
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
new_RTT_at: 3312.53 cur_dir= 5 prev_v= 1 cur_v= 2 window= 7.53067 target= 14.4931 rtt= 27.7157
new_RTT_at: 3484.43 cur_dir= -4 prev_v= 1 cur_v= 1 window= 7.03823 target= -80.8746 rtt= 169.724
new_RTT_at: 3628.5 cur_dir= -9 prev_v= 1 cur_v= 1 window= 5.38628 target= -71.9634 rtt= 131.644
new_RTT_at: 3686.01 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.01211 target= -8.77864 rtt= 34.9464
new_RTT_at: 3762.94 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2.5704 target= -32.2557 rtt= 50.8525
new_RTT_at: 3815.2 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= 51.5492 rtt= 23.3408
new_RTT_at: 3859.67 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 49.3195 rtt= 23.4792
new_RTT_at: 3882.73 cur_dir= 1 prev_v= 1 cur_v= 2 window= 3.91898 target= 57.4879 rtt= 23.0186
new_RTT_at: 3913.6 cur_dir= 4 prev_v= 2 cur_v= 4 window= 7.79198 target= 2.6446 rtt= 30.7033
new_RTT_at: 3986.29 cur_dir= -8 prev_v= 1 cur_v= 1 window= 4.59997 target= -39.9439 rtt= 59.4128

debug1:sec: 4 throughput: 1.11118 RTT: 57.7835
new_RTT_at: 4047.59 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.64296 target= -35.8542 rtt= 54.5873
new_RTT_at: 4118.89 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -19.2443 rtt= 40.5399
new_RTT_at: 4201.26 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 50.6145 rtt= 23.3975
new_RTT_at: 4245.23 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2.16542 target= -24.1379 rtt= 43.905
new_RTT_at: 4298.59 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= 64.1134 rtt= 22.727
new_RTT_at: 4322.46 cur_dir= 1 prev_v= 1 cur_v= 1 window= 4.1297 target= 44.3061 rtt= 23.8306
new_RTT_at: 4354.42 cur_dir= 5 prev_v= 1 cur_v= 2 window= 6.28382 target= 10.7017 rtt= 28.5467
new_RTT_at: 4412.82 cur_dir= -1 prev_v= 1 cur_v= 1 window= 9.75787 target= -31.7071 rtt= 50.3216
new_RTT_at: 4476.65 cur_dir= -11 prev_v= 1 cur_v= 1 window= 7.91746 target= -39.8972 rtt= 59.3539
new_RTT_at: 4551.26 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.0545 target= -47.8146 rtt= 70.7723
new_RTT_at: 4629.47 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.17442 target= -45.804 rtt= 67.5814
new_RTT_at: 4666.01 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.81609 target= 4.02808 rtt= 30.2906
new_RTT_at: 4717.99 cur_dir= 3 prev_v= 1 cur_v= 1 window= 5.15616 target= -29.7332 rtt= 48.4892
new_RTT_at: 4744.5 cur_dir= -4 prev_v= 1 cur_v= 1 window= 4.16755 target= 147.253 rtt= 21.6209
